Rank,County,"Mean Annual
Precipitation (in.)"
1,Jasper,60.57
2,Liberty,60.52
3,Jefferson,59.89
4,Orange,59
5,Brazoria,57.24
6,Hardin,56.5
7,Newton,54.9
8,Tyler,54.79
9,Sabine,54.4
10,Chambers,54.08
11,Harris,53.96
12,Shelby,53.01
13,Polk,51.85
14,San Jacinto,51.77
15,Panola,51.51
16,Bowie,51.24
17,Harrison,51.22
18,San Augustine,51.1
19,Fort Bend,49.34
20,Montgomery,49.32
21,Marion,49.26
22,Gregg,49.06
23,Morris,48.76
24,Titus,48.57
25,Walker,48.51
26,Cherokee,48.5
27,Nacogdoches,48.4
28,Rusk,48.22
29,Cass,48.2
30,Trinity,48.1
31,Matagorda,48.03
32,Red River,47.83
33,Lamar,47.82
34,Hopkins,47.69
35,Franklin,47.65
36,Upshur,47.08
37,Angelina,46.62
38,Anderson,46.38
39,Wharton,45.92
40,Wood,45.88
41,Houston,45.48
42,Smith,45.4
43,Camp,45.1
44,Delta,45
45,Colorado,44.72
46,Grimes,44.7
47,Fannin,44.56
48,Washington,44.15
49,Madison,44
50,Galveston,43.84
51,Hunt,43.7
52,Van Zandt,43.68
53,Rains,43.5
54,Leon,43.08
55,Freestone,42.31
56,Lavaca,42.23
57,Jackson,42.1
58,Grayson,42.04
59,Henderson,42.03
60,Limestone,41.4
61,Collin,41.01
62,Austin,40.68
63,Fayette,40.31
64,Victoria,40.1
65,Refugio,40.1
66,Brazos,39.67
67,Navarro,39.48
68,Rockwall,39.4
69,Robertson,39.03
70,Kaufman,38.9
71,Ellis,38.81
72,Goliad,38.58
73,Burnet,38.5
74,Waller,38.2
75,Bastrop,38.04
76,Falls,37.99
77,Denton,37.79
78,Kendall,37.36
79,Hays,37.19
80,Hill,37.15
81,Dallas,37.05
82,Cooke,36.9
83,Calhoun,36.86
84,Johnson,36.25
85,DeWitt,36.08
86,Lee,36.02
87,Gonzales,36.02
88,Aransas,35.96
89,Bell,35.81
90,Bandera,35.78
91,Comal,35.74
92,San Patricio,35.54
93,Milam,35.52
94,Williamson,35.11
95,Bosque,35.07
96,Somervell,34.82
97,Callahan,34.78
98,Blanco,34.75
99,Parker,34.7
100,Guadalupe,34.5
101,Wise,34.02
102,Tarrant,34.01
103,Montague,33.72
104,Travis,33.65
105,Bee,33.48
106,Coryell,33.43
107,McLennan,33.34
108,Hood,33.1
109,Bexar,32.92
110,Kerr,32.6
111,Caldwell,32.43
112,Nueces,32.26
113,Palo Pinto,31.79
114,Clay,31.66
115,Gillespie,31.65
116,Jack,31.44
117,Young,31.35
118,Comanche,31.12
119,Lampasas,31.08
120,Archer,29.78
121,Erath,29.71
122,Kleberg,29.03
123,Atascosa,29
124,Wichita,28.83
125,Mills,28.78
126,Coleman,28.7
127,Hamilton,28.59
128,Wilbarger,28.55
129,Shackelford,28.45
130,Karnes,28.4
131,Burleson,28.32
132,Real,27.99
133,Willacy,27.97
134,Mason,27.95
135,Kenedy,27.9
136,Baylor,27.79
137,San Saba,27.72
138,McCulloch,27.63
139,Wilson,27.6
140,Cameron,27.55
141,Eastland,27.53
142,Jim Wells,27.52
143,Llano,27.33
144,Stephens,27.04
145,Hardeman,26.76
146,Throckmorton,26.6
147,Foard,26.4
148,Knox,26.36
149,Medina,26.3
150,Jones,26
151,Frio,25.73
152,Concho,25.5
153,Brown,25.42
154,Duval,25.4
155,King,25
156,Haskell,24.93
157,Menard,24.9
158,Edwards,24.76
159,Wheeler,24.32
160,Fisher,24.22
161,Cottle,24.11
162,Donley,23.89
163,McMullen,23.87
164,Taylor,23.78
165,Runnels,23.76
166,Jim Hogg,23.75
167,Nolan,23.54
168,Uvalde,23.3
169,Roberts,23.3
170,Kimble,23.24
171,Stonewall,23.24
172,Coke,23
173,Crosby,22.95
174,Kent,22.94
175,Motley,22.9
176,Collingsworth,22.8
177,Kinney,22.79
178,Gray,22.74
179,Childress,22.65
180,Hidalgo,22.61
181,Lipscomb,22.57
182,La Salle,22.56
183,Hall,22.51
184,Scurry,22.51
185,Sutton,22.4
186,Armstrong,22.39
187,Brooks,22.34
188,Carson,22.21
189,Live Oak,22
190,Hutchinson,21.98
191,Hemphill,21.68
192,Starr,21.61
193,Webb,21.53
194,Maverick,21.48
195,Garza,21.29
196,Floyd,20.95
197,Tom Green,20.91
198,Ochiltree,20.88
199,Swisher,20.71
200,Zavala,20.7
201,Lynn,20.48
202,Hansford,20.3
203,Dimmit,20.21
204,Howard,20.12
205,Hale,19.9
206,Irion,19.9
207,Potter,19.71
208,Castro,19.71
209,Borden,19.68
210,Hockley,19.58
211,Zapata,19.53
212,Mitchell,19.43
213,Sterling,19.4
214,Randall,19.19
215,Briscoe,19.17
216,Dawson,19.07
217,Schleicher,19
218,Crockett,18.95
219,Terry,18.89
220,Val Verde,18.8
221,Reagan,18.79
222,Lubbock,18.69
223,Lamb,18.69
224,Dickens,18.68
225,Deaf Smith,18.65
226,Dallam,18.57
227,Yoakum,18.41
228,Parmer,18.38
229,Cochran,18.34
230,Martin,18.2
231,Gaines,18.2
232,Oldham,18.18
233,Sherman,17.89
234,Moore,17.75
235,Bailey,17.37
236,Glasscock,17.32
237,Hartley,17.2
238,Brewster,17.19
239,Jeff Davis,15.86
240,Presidio,15.79
241,Crane,15.38
242,Andrews,15.15
243,Terrell,14.94
244,Midland,14.8
245,Upton,14.45
246,Pecos,14.06
247,Ector,13.29
248,Ward,13.23
249,Winkler,12.92
250,Culberson,11.98
251,Hudspeth,11.93
252,Reeves,11.61
253,El Paso,9.43
254,Loving,9.1
Average,,28.87
